I_TRIP_ID,S_LORRY_RECPT_NO,S_VEHICLE_ID,S_PRODUCT_ID,DT_DEP_DATETIME,DT_BOOK_DATETIME,S_CONSIGNOR_ID,S_CONSIGNOR_NAME,S_TRANSPORTER_ID,S_TRANSPORTER_NAME,C_TRIP_CLOSE_REASON,C_IS_DELETED,I_ORIGIN_LOC_CODE,S_GOODS_DESC,I_QTY,S_UOM_CODE,S_DESTINATION_LOC_NAME,DT_EXP_ARR_DATETIME,S_CONSIGNEE_ID,S_CONSIGNEE_NAME,S_CONSIGNEE_CITY,C_STATUS,S_ORIGIN_LOC_NAME,S_SUPP_PRODUCT_ID,DT_CREATED,S_INVOICE,DT_ATA,DT_OFFLOAD,DT_ATA_OUT 
761907,-,NL05D8099,195895,01-Jan-2013 05:26:00,,112,TATA STEEL,175,SAIZAR ENTERPRISE PVT. LTD.,S,N,,-,0,-,HOSUR,09-Jan-2013 00:00:00,-,ASHOK LEYLAND LTD,,O,JAMSHEDPUR,1230040000000006159,05-Jan-2013 16:06:46,,06-Jan-2013 14:02:00,20-Feb-2013 01:45:38, 
758580,-,MH40N2547,189784,01-Jan-2013 08:13:00,,113,TATA STEEL-NAGPUR,147,M/s SHREYAS ASSOCIATES,T,N,,-,0,-,TALOJA,09-Jan-2013 00:00:00,-,SKM GLOBAL,,O,NAGPUR,1230040000003098254,02-Jan-2013 06:46:20,,,03-Jan-2013 15:42:18, 
758673,-,MH40N2831,189676,01-Jan-2013 09:20:00,,113,TATA STEEL-NAGPUR,147,M/s SHREYAS ASSOCIATES,T,N,,-,0,-,KALAMNA,31-Dec-2012 00:00:00,-,HEMNIL - PUNE/ LEPA,,O,NAGPUR,1230040000003098298,02-Jan-2013 06:51:40,,,05-Jan-2013 16:12:43, 
758598,-,HR38Q3718,220569,01-Jan-2013 08:01:00,,148,TATA STEEL-FARIDABAD,176,M/S GUPTA TRANSPORT COMPANY,S,N,,-,0,-,GURGAON,07-Jan-2013 00:00:00,-,NEEL METAL PRODUCTS LTD./,,O,FARIDABAD,1230040000003099149,02-Jan-2013 06:47:25,,02-Jan-2013 23:04:00,20-Feb-2013 04:37:31, 
762526,-,NL01K1509,175688,01-Jan-2013 02:45:00,,112,TATA STEEL,175,SAIZAR ENTERPRISE PVT. LTD.,T,N,,-,0,-,VISAKHAPATNAM,04-Jan-2013 00:00:00,-,SAHUWALA CYLINDERS LTD.UNIT NO.II,,O,JAMSHEDPUR,1230040000000015846,05-Jan-2013 16:38:25,,,05-Jan-2013 16:53:28, 
762640,-,HR38R4018,204926,01-Jan-2013 08:02:00,,148,TATA STEEL-FARIDABAD,176,M/S GUPTA TRANSPORT COMPANY,S,N,,-,0,-,GURGAON,07-Jan-2013 00:00:00,-,NEEL METAL PRODUCTS LTD./,,O,FARIDABAD,1230040000003099148,05-Jan-2013 16:45:19,,,20-Feb-2013 04:40:08, 
762602,-,OR05AD1385,728340219069304,01-Jan-2013 02:36:00,,112,TATA STEEL,159,LINFOX LOGISTICS INDIA (P) LTD.,S,N,,-,0,-,BIDADI,04-Jan-2013 00:00:00,-,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMI,,O,JAMSHEDPUR,1230040000000038020,05-Jan-2013 16:43:03,,,20-Feb-2013 01:47:06, 
762720,-,NL01G3732,236051,01-Jan-2013 04:54:00,,112,TATA STEEL,140,SUPERSONIC CARRIERS,S,N,,-,0,-,AHMEDABAD,10-Jan-2013 00:00:00,-,WRINKLE DISTRIBUTORS PVT LTD.,,O,JAMSHEDPUR,1230040000000028096,05-Jan-2013 16:50:19,,11-Jan-2013 13:30:00,20-Feb-2013 01:31:12, 
758502,-,MH36F1149,177267,01-Jan-2013 08:50:00,,113,TATA STEEL-NAGPUR,147,M/s SHREYAS ASSOCIATES,T,N,,-,0,-,TALOJA,10-Jan-2013 00:00:00,-,SKM GALVA(A DIVISION OF SKM STEELS),,O,NAGPUR,1230040000003098262,02-Jan-2013 06:41:29,,,05-Jan-2013 16:02:30, 
758623,-,MH40N2548,236066,01-Jan-2013 09:23:00,,113,TATA STEEL-NAGPUR,147,M/s SHREYAS ASSOCIATES,T,N,,-,0,-,KALAMNA,31-Dec-2012 00:00:00,-,HEMNIL - PUNE/ LEPA,,O,NAGPUR,1230040000003098252,02-Jan-2013 06:48:51,,,05-Jan-2013 16:09:53, 
761826,-,HR38Q4168,216657,01-Jan-2013 07:58:00,,148,TATA STEEL-FARIDABAD,176,M/S GUPTA TRANSPORT COMPANY,S,N,,-,0,-,MARUTI-GURGAON,07-Jan-2013 00:00:00,-,MARUTI SUZUKI INDIA LIMITED.,,O,FARIDABAD,1230040000003096130,05-Jan-2013 16:01:52,,,20-Feb-2013 04:37:58, 
761852,-,NL01G6909,165523,01-Jan-2013 02:36:00,,112,TATA STEEL,175,SAIZAR ENTERPRISE PVT. LTD.,T,N,,-,0,-,VISAKHAPATNAM,04-Jan-2013 00:00:00,-,SAHUWALA CYLINDERS LTD.UNIT NO.II,,O,JAMSHEDPUR,1230040000000006100,05-Jan-2013 16:03:27,,,05-Jan-2013 16:39:30, 
761939,-,NL05D4219,175741,01-Jan-2013 22:41:00,,112,TATA STEEL,175,SAIZAR ENTERPRISE PVT. LTD.,T,N,,-,0,-,CUTTACK,04-Jan-2013 00:00:00,-,BHARTIA  DISTRIBUTORS PVT. LTD.,,O,JAMSHEDPUR,1230040000000034094,05-Jan-2013 16:08:43,,,05-Jan-2013 16:44:47, 
758484,-,HR38P9661,216614,01-Jan-2013 08:04:00,,148,TATA STEEL-FARIDABAD,176,M/S GUPTA TRANSPORT COMPANY,S,N,,-,0,-,MARUTI-GURGAON,07-Jan-2013 00:00:00,-,MARUTI SUZUKI INDIA LIMITED.,,O,FARIDABAD,1230040000003099319,02-Jan-2013 06:40:28,,03-Jan-2013 05:03:00,20-Feb-2013 04:35:43, 
758567,-,NL05D4279,175679,01-Jan-2013 09:02:00,,112,TATA STEEL,175,SAIZAR ENTERPRISE PVT. LTD.,S,N,,-,0,-,HUBLI,09-Jan-2013 00:00:00,-,S C SHETTAR AND SONS,,O,JAMSHEDPUR,1230040000000014617,02-Jan-2013 06:45:33,,07-Jan-2013 05:58:00,20-Feb-2013 01:45:08, 
758596,-,HR38J8890,,01-Jan-2013 08:02:00,,148,TATA STEEL-FARIDABAD,176,M/S GUPTA TRANSPORT COMPANY,S,N,,-,0,-,FARIDABAD,07-Jan-2013 00:00:00,-,WHEELS INDIA LTD.,,O,FARIDABAD,1230040000003099117,02-Jan-2013 06:47:18,,01-Jan-2013 08:07:00,20-Feb-2013 04:33:20, 
758587,-,CG04JA2907,189997,01-Jan-2013 02:13:00,,112,TATA STEEL,159,LINFOX LOGISTICS INDIA (P) LTD.,S,N,,-,0,-,SRIPERUMBUDUR,03-Jan-2013 00:00:00,-,HYSCO STEEL INDIA PRIVATE LIMITED,,O,JAMSHEDPUR,1230040000000029524,02-Jan-2013 06:46:45,,,20-Feb-2013 01:06:12, 
758559,-,NL01G1908,114181,01-Jan-2013 02:26:00,,112,TATA STEEL,165,M/S WESTERN CARRIERS,S,N,,-,0,-,KANPUR,06-Jan-2013 00:00:00,-,TATA STEEL LTD,,O,JAMSHEDPUR,1230040000000008718,02-Jan-2013 06:44:59,,07-Jan-2013 06:59:00,20-Feb-2013 01:25:56, 
762584,-,NL01G2219,165512,01-Jan-2013 02:22:00,,112,TATA STEEL,175,SAIZAR ENTERPRISE PVT. LTD.,S,N,,-,0,-,BANGALORE,08-Jan-2013 00:00:00,-,BHARAT EARTH MOVERS LTD.,,O,JAMSHEDPUR,1230040000000010284,05-Jan-2013 16:41:58,,,20-Feb-2013 01:26:37, 
762644,-,HR38P9801,120454,01-Jan-2013 08:01:00,,148,TATA STEEL-FARIDABAD,176,M/S GUPTA TRANSPORT COMPANY,S,N,,-,0,-,GURGAON,07-Jan-2013 00:00:00,-,NEEL METAL PRODUCTS LTD./,,O,FARIDABAD,1230040000003099126,05-Jan-2013 16:45:36,,02-Jan-2013 12:34:00,20-Feb-2013 04:36:40, 
758489,-,MH40N3187,190031,01-Jan-2013 07:48:00,,113,TATA STEEL-NAGPUR,147,M/s SHREYAS ASSOCIATES,S,N,,-,0,-,SANSWADI,08-Jan-2013 00:00:00,-,POSHS METAL INDUSTRIES PVT.LTD.,,O,NAGPUR,1230040000003098277,02-Jan-2013 06:40:46,,02-Jan-2013 23:40:00,20-Feb-2013 02:41:19, 
